household_idx,fid,cluster_id,persona_id,persona_name,persona_avg_fit_score,cluster_id_current,persona_id_current,persona_name_current,mapping_source,is_validated,iteration,ER82017,ER82027,ER82150,ER82181,ER82182,ER82433,ER82800,ER82840,ER82856,ER82926,ER83010,ER83977,ER83978,ER84520,ER85079,ER85311,ER85533,ER85629,ER85666,ER85690,ER85692,ER85701,ER85747,ER85768,ER85780,ER82500,ER82501
10,9,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,2,1,1007,6870,1,3,5,5,1,1,5,5,1,2,1,338600,338600,0,471000,1214000,24900.0,10100.0,143771.39,14,1030,3960
11,897,3,3,Balanced Stability Seeker,0.7175925925925926,3,3,Balanced Stability Seeker,current_validated,True,10,4,1,1,6730,6290,1,4,5,5,1,5,5,5,3,1,1,132010,132010,75000,630000,960000,48840.0,8000.0,102893.01,12,10,6970
12,690,13,13,Stressed Middle-Class Parent,0.6708333333333334,13,13,Stressed Middle-Class Parent,current_validated,True,10,4,2,1,910,6870,1,3,5,5,1,1,5,5,2,1,1,158625,164625,0,317000,572000,24132.0,25481.8,128576.33,16,2310,7860
13,1028,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,3,1,1,1020,7380,1,5,5,5,1,1,5,5,1,2,1,249000,284000,3000,462000,632000,27460.0,12900.0,189916.0,14,5360,7580
14,1008,18,18,The Educated but Debt-Laden Professional,0.7375000000000002,18,18,The Educated but Debt-Laden Professional,current_validated,True,10,4,3,1,140,1280,1,3,5,5,1,5,1,1,3,2,1,133000,140000,47000,-105600,64400,24488.0,6160.0,90050.53,16,350,8190
15,60,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,2,1,1050,6480,1,3,5,5,1,5,1,5,3,2,1,267500,267500,0,163400,253400,57697.55,6562.17,108918.72,17,110,7380
16,158,13,13,Stressed Middle-Class Parent,0.6708333333333334,13,13,Stressed Middle-Class Parent,current_validated,True,10,4,2,1,220,770,1,3,5,5,1,1,5,5,3,1,1,156000,156300,0,415000,555000,52120.0,22900.0,114309.18,11,2630,7490
17,163,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,1020,3390,1,3,5,5,1,5,5,5,2,2,1,229011,229011,0,366303,733104,43036.0,3260.0,72040.0,17,1106,6090
18,25,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,5,1,1,1410,7290,1,2,5,5,1,1,5,5,2,2,1,197025,212097,0,85050,91886,32720.0,15200.0,86520.0,16,3255,8190
19,308,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,2825,9190,1,3,5,5,1,5,9,9,2,2,1,155200,155200,0,168000,228000,30320.0,4866.87,98219.59,17,810,7070
20,438,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,2,2,1,1430,7680,1,2,5,5,1,5,5,5,2,1,1,406110,406110,0,490000,883100,55092.0,4256.0,105539.05,17,1020,7380
21,474,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,1,1,1820,8080,1,3,5,5,1,1,5,5,2,2,1,204050,204050,0,348000,821000,34350.0,0.0,83110.0,17,2200,7870
22,412,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,5,2,1,800,7280,1,3,5,5,1,1,1,5,1,1,1,178200,178200,0,25000,85000,52840.0,14546.73,125106.73,17,3310,7980
23,483,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,3,3,1,20,7380,1,3,1,5,1,1,5,5,2,2,1,228410,228410,10000,313000,603000,38700.0,20350.0,91550.0,17,10,7470
24,487,8,8,Stable Yet Strained Middle-Class Worker,0.713888888888889,8,8,Stable Yet Strained Middle-Class Worker,current_validated,True,10,4,2,1,140,570,1,3,5,5,1,5,5,5,2,2,1,405700,405700,0,610000,1032000,62420.0,4660.0,155219.22,16,726,8190
25,515,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,3,1,2310,7860,1,4,5,5,1,5,5,5,2,2,1,181000,181000,0,110000,234000,38918.81,622.0,102477.84,17,2000,8190
26,365,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,3,1,1,4200,7070,1,2,5,5,1,5,5,1,2,2,1,209960,209960,30000,49400,479400,40200.0,18784.0,123043.7,16,3150,8270
27,200,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,2,1,9830,9690,1,3,5,5,1,1,5,5,2,2,1,250000,255460,0,140000,290000,30160.0,2000.0,92996.79,17,300,6270
28,184,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,1,1,5000,7870,1,2,5,5,1,5,5,5,1,1,1,244000,244000,5985,883828,1011828,28360.0,2550.0,77552.13,16,4850,7890
29,369,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,1610,8180,1,2,5,5,1,1,5,5,3,2,1,275100,275100,0,430000,620000,45800.0,1740.0,110820.0,16,1610,2190
30,304,2,2,Stable Middle-Class Caregivers,0.7118905472636812,2,2,Stable Middle-Class Caregivers,current_validated,True,10,1,3,1,230,7860,1,1,5,5,1,1,5,5,2,2,1,152100,152100,5000,310000,365000,17270.0,6150.0,75565.25,17,0,0
31,282,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,2,5000,6990,1,4,5,5,1,5,5,5,3,1,1,192000,240000,0,765000,930000,32800.0,3150.0,79510.0,16,2300,7860
32,74,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,1,1,110,590,1,2,5,5,1,5,1,5,2,2,1,295150,295150,0,433000,623000,34768.0,13550.0,117868.0,16,820,590
33,124,2,2,Stable Middle-Class Caregivers,0.7118905472636812,2,2,Stable Middle-Class Caregivers,current_validated,True,10,4,3,1,1020,6880,1,2,5,5,1,1,5,5,3,1,1,159385,159385,0,71966,704966,31455.45,4300.0,71704.23,16,3255,7860
34,40,11,11,Stable Middle-Class Family Anchor,0.7416666666666667,11,11,Stable Middle-Class Family Anchor,current_validated,True,10,2,3,1,1006,7380,1,2,5,5,1,5,5,5,3,2,1,150100,150100,400,59600,409600,37840.0,7078.96,102718.96,16,1020,7380
35,570,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,1,1,1005,7380,1,3,5,5,1,5,5,5,3,1,1,220002,227002,0,280000,880000,72440.0,3600.0,98740.0,17,2600,4580
36,653,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,850,6880,1,3,5,5,1,5,5,5,2,2,1,235000,235000,0,1270000,1720000,42100.0,200.0,94090.0,16,120,6680
37,585,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,4850,9070,1,3,5,5,1,1,5,5,3,1,1,136500,136500,0,110000,299114,42308.0,4790.0,78999.2,16,3230,7860
38,1367,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,2,2,1,220,770,1,2,5,5,1,5,5,5,3,2,1,193200,193200,0,158000,258000,22360.0,22700.0,110691.78,16,2200,7870
39,1409,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,4,1,1,4800,6670,1,3,5,5,1,5,5,5,1,2,1,402800,402800,0,1234000,1454000,63300.0,3000.0,133716.0,16,9999,9999
40,1328,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,9130,5680,1,3,5,5,1,5,5,5,2,2,1,119947,167947,15000,45000,142000,28980.0,8500.0,95377.03,12,135,7870
41,1088,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,1,1,50,6990,1,1,5,5,1,5,1,5,1,2,1,188000,212000,17000,2000,104000,31000.0,8556.0,90880.0,17,4510,8980
42,1018,3,3,Balanced Stability Seeker,0.7175925925925926,3,3,Balanced Stability Seeker,current_validated,True,10,3,3,1,1020,7380,1,4,5,5,1,1,5,5,3,2,1,248700,254103,45000,320000,625730,51190.0,9610.0,111111.13,12,710,6990
43,1122,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,4,3,1,830,6870,1,3,5,5,1,1,5,5,2,2,1,312000,312000,15000,245000,635000,53400.0,19000.0,149600.0,17,430,6870
44,1101,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,2025,9160,1,4,5,5,1,5,1,5,3,2,1,135040,135040,0,62500,85500,39368.0,6360.0,90078.0,17,1020,6970
45,1156,13,13,Stressed Middle-Class Parent,0.6708333333333334,13,13,Stressed Middle-Class Parent,current_validated,True,10,4,1,1,735,3390,1,3,5,5,1,1,5,5,2,2,1,215120,215120,10000,77000,487000,43280.0,19500.0,124080.0,17,710,7590
46,1145,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,9130,7790,1,2,5,5,1,5,5,5,1,2,1,130000,130000,0,5000,105000,52175.93,1500.0,87875.93,6,4610,8170
47,1376,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,2,1,4850,4380,1,2,5,5,1,5,5,5,2,1,1,272625,272625,0,1230000,1729750,26264.0,10700.0,87537.0,16,7700,2190
48,1397,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,7260,5275,1,1,5,5,1,5,5,5,2,1,1,225000,225000,0,970000,1365000,22400.0,10850.0,70867.53,17,3110,7970
49,1236,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,110,7380,1,3,5,5,1,5,5,5,2,1,1,211506,266506,0,335000,465000,67340.0,8450.0,163701.23,16,1420,7290
50,1090,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,4,1,1050,7380,1,5,5,5,1,5,5,5,2,1,1,250000,250000,0,60300,262300,24032.0,3140.57,76286.68,16,740,6695
51,281,19,19,"Wealthy, Educated Family-Oriented Professionals",0.7649999999999999,19,19,"Wealthy, Educated Family-Oriented Professionals",current_validated,True,10,4,2,1,1400,3365,1,5,5,5,1,5,5,5,3,1,1,425012,425012,0,3350000,4087000,58776.0,4918.0,118994.0,16,2630,7370
52,376,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,4850,3370,1,3,5,5,1,5,5,5,2,2,1,150008,169008,0,331000,775500,45399.0,7700.0,75868.82,16,5000,6970
53,649,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,3,1,3060,8190,1,4,5,5,1,5,1,5,2,2,1,398200,398200,0,-390000,-50000,39400.0,300.0,106080.0,17,2100,9470
54,641,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,3,1,3730,9470,1,2,5,5,1,1,1,5,2,2,1,208000,208000,0,-48000,312000,35448.0,7700.0,85148.0,16,2340,7860
55,1038,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,4840,590,1,1,5,5,1,1,1,5,1,1,1,220500,220500,7500,636500,651500,34008.0,5600.0,76066.62,16,800,7280
56,1054,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,2,1,20,8790,1,3,5,5,1,5,1,1,3,1,1,144580,144580,800,-16900,135100,37700.0,7600.0,74618.51,14,230,7890
57,795,3,3,Balanced Stability Seeker,0.7175925925925926,3,3,Balanced Stability Seeker,current_validated,True,10,4,2,1,120,4670,1,3,5,5,1,5,1,5,3,1,1,159000,159000,8000,4000,19000,31515.08,9780.0,102819.35,17,2015,9470
58,334,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,4,2,1,850,6870,1,2,5,5,1,5,1,1,2,2,1,168002,187802,2000,56400,259400,45160.0,18830.0,132260.0,17,1220,7290
59,303,19,19,"Wealthy, Educated Family-Oriented Professionals",0.7649999999999999,19,19,"Wealthy, Educated Family-Oriented Professionals",current_validated,True,10,2,2,1,120,6990,1,2,5,5,1,5,5,5,2,2,1,426852,453320,0,3335000,4064470,107884.0,7500.0,189759.41,17,0,0
60,251,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,1020,7380,1,3,5,5,1,1,1,5,2,2,1,165200,165200,37000,-121500,-41500,36380.0,42884.03,140666.08,17,800,7280
61,1023,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,2,2,1,360,7380,1,2,5,5,1,5,5,5,2,2,1,355520,355520,0,313000,433000,90020.0,3040.0,133383.06,17,1060,7460
62,1014,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,2,2,1,300,7290,1,9,5,5,1,5,5,5,2,2,1,380500,380500,1500,1243500,1743500,85540.0,1950.0,150830.0,17,300,7290
63,839,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,4710,7070,1,2,5,5,1,5,5,5,2,1,1,192000,192000,0,25000,297000,76264.78,8466.87,139787.84,16,2145,7270
64,892,3,3,Balanced Stability Seeker,0.7175925925925926,3,3,Balanced Stability Seeker,current_validated,True,10,2,3,1,1020,7380,1,4,5,5,1,5,5,5,3,2,1,221100,261100,35000,498000,596410,56756.0,1200.0,88896.0,16,350,8180
65,945,19,19,"Wealthy, Educated Family-Oriented Professionals",0.7649999999999999,19,19,"Wealthy, Educated Family-Oriented Professionals",current_validated,True,10,5,1,1,3710,9470,1,2,5,5,1,1,5,5,2,1,1,317046,552546,0,1803000,2705000,63997.0,10150.0,168307.0,17,3255,7970
66,915,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,1840,9490,1,3,5,5,1,1,5,5,3,1,1,195200,195200,6000,316000,934000,45278.46,12564.19,146525.62,17,2200,7870
67,713,19,19,"Wealthy, Educated Family-Oriented Professionals",0.7649999999999999,19,19,"Wealthy, Educated Family-Oriented Professionals",current_validated,True,10,5,2,1,840,6870,1,3,5,5,1,1,5,5,2,2,1,870000,870000,0,3020000,3825000,78080.0,11600.0,244222.86,16,800,7280
68,656,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,1,1,3255,8190,1,3,5,5,5,5,5,5,2,1,1,321633,321633,20000,380000,790000,45130.32,0.0,84351.47,16,3255,8190
69,602,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,4,2,1,7700,6170,1,3,5,5,5,5,5,5,1,1,1,185080,185080,0,30000,130000,28292.0,19500.0,109992.0,12,5500,6380
70,341,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,2,2,1,710,7590,1,2,5,5,1,5,5,5,2,1,1,144300,180300,0,68000,202000,46660.86,12370.0,92350.86,99,0,0
71,417,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,4,3,1,1107,9170,1,3,5,5,1,1,1,1,2,2,1,175200,204000,30000,336500,606500,42000.55,18670.0,121787.02,17,2330,7860
72,409,3,3,Balanced Stability Seeker,0.7175925925925926,3,3,Balanced Stability Seeker,current_validated,True,10,4,2,1,5520,9470,1,4,5,5,1,1,5,5,2,2,1,222506,222506,30000,55000,380000,53760.0,3350.0,96566.0,16,1820,8190
73,493,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,2,1,1,9360,8770,1,3,5,5,1,5,5,5,1,2,1,280000,280000,0,-711000,-380000,69768.0,3240.0,100468.0,12,4810,6990
74,558,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,3,2,1,10,7470,1,3,5,5,5,5,5,5,3,1,1,515200,518200,0,607000,1562000,84116.0,20400.0,195636.0,16,4920,7070
75,306,8,7,Wealthy but Time-Pressured Dual-Income Couple,0.725,8,8,Stable Yet Strained Middle-Class Worker,last_validated,False,10,4,2,1,10,6970,1,2,5,5,5,1,5,5,2,1,1,785100,785100,0,1600000,2158000,80344.0,11000.0,295544.0,17,2310,7860
76,1092,2,2,Stable Middle-Class Caregivers,0.7118905472636812,2,2,Stable Middle-Class Caregivers,current_validated,True,10,2,2,1,2200,7870,1,2,5,5,1,5,5,5,2,2,1,160150,160150,0,-391000,-306000,38801.0,700.0,73031.0,17,2340,8560
77,134,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,1,1,5630,9480,1,1,5,5,1,5,5,5,2,1,1,308400,344400,0,355000,790000,37880.0,12700.0,77074.3,16,2010,8370
78,16,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,4,1,1,4700,7190,1,2,5,5,1,5,5,5,1,1,1,222200,222200,16000,10000,110000,27840.0,16500.0,83533.44,13,3255,7970
79,27,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,4,3,1,1700,7870,1,2,5,5,1,5,5,5,3,1,1,207000,219000,0,310000,310000,57660.0,8400.0,103786.22,17,420,8370
80,155,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,4,2,1,4700,4795,1,1,5,5,1,5,5,5,2,2,1,220600,220600,0,111500,351500,57076.0,8200.0,110885.0,16,4800,7470
81,800,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,650,6870,1,2,5,5,1,5,5,5,3,2,1,185200,193600,0,665000,908100,28248.0,22840.0,88258.0,17,4700,5380
82,771,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,740,2280,1,3,5,5,1,5,5,5,1,2,1,210200,210200,0,112000,362000,55974.67,4366.87,82538.5,16,2320,7860
83,667,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,4,3,1,230,7860,1,3,5,5,1,5,5,5,3,2,1,166500,166500,0,276000,391000,29340.0,9800.0,74540.0,17,2010,7860
84,655,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,50,6695,1,4,5,5,1,5,1,5,1,1,1,187000,193075,100,15100,315100,43108.0,2640.0,83468.0,14,2310,7860
85,566,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,3,1,110,3570,1,3,5,5,1,1,1,5,3,1,1,310770,310770,5000,23500,62622,44524.0,14500.0,107024.0,17,700,7390
86,1150,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,2,3,1,120,370,1,3,5,5,1,5,1,5,3,2,1,463000,463000,0,275000,431000,36016.0,0.0,101424.62,17,1107,590
87,1082,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,initial,False,10,3,1,1,9030,6070,1,3,5,5,1,5,1,5,1,1,1,280000,280000,0,-185000,-120000,65600.0,1850.0,87650.0,16,2100,7270
88,1288,2,2,Stable Middle-Class Caregivers,0.7118905472636812,2,2,Stable Middle-Class Caregivers,current_validated,True,10,2,3,1,850,6990,1,2,5,5,1,5,5,5,1,1,1,178100,197500,0,305000,655000,29300.0,3166.87,72182.87,16,0,0
89,1315,3,3,Balanced Stability Seeker,0.7175925925925926,3,3,Balanced Stability Seeker,current_validated,True,10,3,2,1,2015,9470,1,2,5,5,1,1,1,5,3,1,1,190500,190500,45000,-215000,-95000,35400.0,4440.0,71174.0,17,2000,7860
90,1370,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,6,4,1,300,3380,1,2,5,5,1,1,5,5,2,1,1,152056,152056,0,779000,1120000,46885.0,3100.0,75185.0,16,0,0
91,1193,2,2,Stable Middle-Class Caregivers,0.7118905472636812,2,2,Stable Middle-Class Caregivers,current_validated,True,10,7,2,2,4010,8680,1,4,5,5,1,5,5,5,4,2,1,70000,140000,0,54000,54000,32612.78,478.96,108402.27,16,4140,7580
92,440,15,15,Stable Middle-Class Family Providers,0.7375000000000002,15,15,Stable Middle-Class Family Providers,current_validated,True,10,3,2,1,110,7380,1,2,5,5,1,5,1,5,2,1,1,337825,352225,20000,-134870,-39870,46200.0,1510.0,71455.26,13,5000,3390
93,363,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,565,3580,1,3,5,5,1,1,5,5,4,2,1,199500,203500,15000,109000,142000,40000.0,10640.0,107603.26,16,630,3580
94,527,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,2,2,1,340,8660,1,3,5,5,1,5,5,5,2,1,1,145150,145150,0,180000,765000,49260.0,13960.0,110446.78,14,725,8570
95,387,21,21,Debt-Burdened Middle-Aged Worker,0.6977272727272726,21,21,Debt-Burdened Middle-Aged Worker,current_validated,True,10,3,3,1,120,6380,1,3,5,5,1,1,1,5,2,1,5,181000,181000,30000,-135000,195000,35280.0,7500.0,85980.0,17,60,3580
96,382,17,17,Stable High-Income Professional,0.7346153846153846,17,17,Stable High-Income Professional,current_validated,True,10,3,2,1,1020,7380,1,2,5,5,1,5,5,5,2,2,1,516000,516000,0,330000,330000,30196.0,7840.0,76556.0,16,3320,8190
97,498,3,3,Balanced Stability Seeker,0.7175925925925926,3,3,Balanced Stability Seeker,current_validated,True,10,5,2,1,220,770,1,3,5,5,1,1,1,1,2,1,1,179100,233478,30000,680000,948000,40040.0,15220.0,104660.0,14,120,8170
98,416,5,5,Stable Middle-Class Family Anchors,0.7036111111111111,5,5,Stable Middle-Class Family Anchors,current_validated,True,10,3,3,1,7040,2380,1,1,5,5,5,1,1,5,2,2,1,160000,160000,50000,-144500,215500,28800.0,35640.0,99478.84,16,0,0
99,1173,8,7,Wealthy but Time-Pressured Dual-Income Couple,0.725,8,8,Stable Yet Strained Middle-Class Worker,last_validated,False,10,2,2,1,20,7070,1,3,5,5,1,5,1,5,2,2,1,332500,332500,5000,1240000,1672000,63080.0,2320.0,157020.0,13,0,0
100,1242,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,5,2,1,3010,7980,1,2,5,5,1,1,1,5,3,2,1,243795,275504,0,340500,770500,45560.0,10000.0,98992.0,17,0,0
101,973,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,1,565,6870,1,3,5,5,1,5,5,5,2,1,1,208000,208000,0,75000,275000,35000.0,0.0,84269.58,17,840,7380
102,1163,0,0,Stable Middle-Class Family Anchors,0.6937378640776699,0,0,Stable Middle-Class Family Anchors,current_validated,True,10,3,2,7,2160,7270,1,4,5,5,1,1,1,5,1,2,5,276997,276997,0,-510000,-310000,67300.0,15570.0,175986.0,16,3060,8190
